Gorilla_GON_ACC.bam.out	Gorilla_Sakura_ACC.bam.out	Gorilla_GON_CB.bam.out	Gorilla_Sakura_CB.bam.out	Gorilla_GON_DPFC.bam.out	Gorilla_Sakura_DPFC.bam.out	Gorilla_GON_VPFC.bam.out	Gorilla_Sakura_VPFC.bam.out	Gorilla_GON_HIP.bam.out	Gorilla_Sakura_HIP.bam.out	Gorilla_GON_V1C.bam.out	Gorilla_Sakura_V1C.bam.out	Gorilla_GON_PMC.bam.out	Gorilla_Sakura_PMC.bam.out	Gorilla_GON_STR.bam.out	Gorilla_Sakura_STR.bam.out
TCONS_00001129	2091.25960966892	30.3033177254075	911.596414097715	76.829262483641	1871.0704592345	133.714026079851	2033.88056554998	0	1791.04326787244	180.296598722695	1663.93701580898	0	2002.24216046196	230.928825426715	1461.18381920313	106.811965119057
TCONS_00001208	4577.75960488849	0	2084.35083064228	153.105000021435	4934.07691182326	0	6090.78464439478	0	3627.23595755842	0	4546.87334398086	503.103772951279	4868.56562924848	218.919577156836	5472.55355511523	539.235735799294
TCONS_00001209	139.610280487395	0	109.214506739362	0	171.763118871964	0	146.709609938785	0	144.896532573813	39.3593308535905	87.5187651172258	0	186.397443454937	0	45.7529404128002	0
TCONS_00001230	119.802390889267	0	89.9584083393	54.0737251984099	141.780542435341	0	117.980263715827	0	267.793186312569	0	120.264880253369	0	91.1336418354658	58.0278818169342	117.564916446927	0
TCONS_00001268	26.8975408116387	0	47.7159760700415	33.8283572158152	80.9492563110876	0	95.1901049200567	0	119.298145152439	0	17.8052170152375	0	54.6973720210034	0	150.423123700425	0
TCONS_00001277	1957.70999475383	11706.2579794986	1347.05352478914	7789.42190650832	2365.84541802623	14542.4622915014	2351.0973609503	14526.6758873548	1384.32436215941	8328.67838624038	2050.2332849646	13266.4416965861	2015.2187773885	14977.5049396963	1423.22393221224	9979.09901739796
TCONS_00001279	231.991289500383	0	70.2847530542189	169.871894508194	84.8039828020915	0	94.2173593223333	0	18.3535607926829	0	276.606130554442	0	29.0759714427438	0	15.1712925404181	1060.4524556746
TCONS_00001286	12.8501604471033	0	15.5981447067545	0	0	0	21.0911408940518	0	29.4967941310976	90.4600963327657	17.3114040891215	0	23.0825957135989	0	0	164.96834504911
TCONS_00001312	0	0	209.469337920209	0	0	0	0	0	0	0	0	0	115.694964903064	0	38.6743604923771	0
TCONS_00001323	151.347943845421	75.3249225273754	147.733455317185	19.0934177924305	133.154983389312	0	118.120244680005	0	187.953314025725	0	92.0534161595689	0	103.317258261895	0	121.396363123585	132.906093405472
