Human_Hs1_ACC.bam.out	Human_Hs2_ACC.bam.out	Human_Hs5_ACC.bam.out	Human_Hs6_ACC.bam.out	Human_Hs8_ACC.bam.out	Human_Hs1_CB.bam.out	Human_Hs2_CB.bam.out	Human_Hs3_CB.bam.out	Human_Hs6_CB.bam.out	Human_Hs8_CB.bam.out	Human_Hs1_DPFC.bam.out	Human_Hs2_DPFC.bam.out	Human_Hs3_DPFC.bam.out	Human_Hs5_DPFC.bam.out	Human_Hs6_DPFC.bam.out	Human_Hs8_DPFC.bam.out	Human_Hs2_VPFC.bam.out	Human_Hs5_VPFC.bam.out	Human_Hs6_VPFC.bam.out	Human_Hs8_VPFC.bam.out	Human_Hs4_HIP.bam.out	Human_Hs6_HIP.bam.out	Human_Hs7_HIP.bam.out	Human_Hs9_HIP.bam.out	Human_Hs1_V1C.bam.out	Human_Hs2_V1C.bam.out	Human_Hs5_V1C.bam.out	Human_Hs6_V1C.bam.out	Human_Hs8_V1C.bam.out	Human_Hs1_PMC.bam.out	Human_Hs2_PMC.bam.out	Human_Hs3_PMC.bam.out	Human_Hs5_PMC.bam.out	Human_Hs6_PMC.bam.out	Human_Hs8_PMC.bam.out	Human_Hs1_STR.bam.out	Human_Hs2_STR.bam.out	Human_Hs5_STR.bam.out	Human_Hs6_STR.bam.out	Human_Hs8_STR.bam.out
TCONS_00000209	20.0257469526639	0	19.4551681331194	14.2338986245513	61.1130545062444	12.6384702395622	0	36.2336468632654	8.71078399239435	4.13451892151835	10.1513748656668	0	2.60701204379603	14.6861510770235	4.57263240182867	23.68397152388	144.749545782505	14.3413324313973	31.9654988557061	23.0569238558924	4.20786030408733	113.592679842746	15.9412952873917	0	3.36548441170556	10.8540486469777	5.18294328195288	0	0	4.59705354611194	641.155398665847	1.61637274383056	0	0	24.3622307325294	9.89160580526474	16.4407277731472	0	0.895926329683753	7.7557186869295
TCONS_00000255	0	0	0	0.574797817813422	2.67788032265234	0	4.49175102725335	0	4.56380085895114	5.87255915681945	3.22177697515008	1.67856669459371	0	0	2.75382623639541	2.52164637989546	1.61886374896555	0	2.81732732088448	3.58899377992385	2.64725277372527	7.89259032235473	1.16850146051348	1.78245851383511	0	0	1.54540643568778	0	2.35888651404057	2.95212146090453	14.3958551482649	0	1.65952420999466	4.821453663651	0.864838225229638	0	8.31069755565679	4.86480530912937	1.41610658655468	5.92010249212959
TCONS_00000302	0	4.72524942701624	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.37867510536865	0	0	0	0	0	0	0.506823279966226	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TCONS_00000311	0	0	3.0387119750777	0.918140789140905	0	5.34019869277276	4.49175102725335	6.15199639050069	9.21278071232274	4.26372263781578	8.45138385945471	0	1.47405821167906	0	7.35498229221818	3.50419524181657	3.59817762953669	0	4.53293714858262	3.45626472001542	4.64385546812529	0	0	0	0	0	0	4.33090736907417	0	5.14172813688349	2.33657215257233	0	0	0	0	1.12456771335957	0	10.4835656846183	1.14090618545666	0
TCONS_00000365	58.094909151509	80.0128628678344	46.1434040659946	52.8829402517513	66.8859489058569	34.164718767083	41.8059338450639	18.3265536038801	38.2280330101002	40.1373522268748	83.6962318638199	53.1131178786447	17.2679507417027	64.9249611906673	53.3014680574607	63.722685546007	35.7196293940376	41.905169941388	64.0783189164381	56.3448943102192	42.9326736966533	102.388276678445	43.4190542696061	82.9765170233586	17.0821559632428	42.6488489356142	39.8350686081211	53.2201886315079	65.6518576723268	130.145885643712	56.7394158111369	21.9471916929576	46.4878407815721	85.7776416931378	61.9172973766944	37.3200838910135	55.1363688757775	68.8937324609271	39.0484675289807	74.580244342999
TCONS_00000374	1.375589339614	3.48176273569618	0	1.76691522275385	2.26644440552959	7.9821917302498	3.7895365809442	3.78121816063059	19.9970378787731	10.0693080745465	2.7805418758379	0	0.736169095214282	6.06395915438392	2.36895413588713	6.46251082284767	2.68944079755151	0	4.94152639315264	1.52309970712544	4.566824690218	0	0	0	0	0.871003903769816	0	4.64894376334745	0	3.82457568818713	0.732749027046682	0	0	0	2.94488503360246	1.12718298711156	0	0	2.32788509678723	2.58804047191147
TCONS_00000398	68.2653863650743	169.114190019529	109.408170394544	104.429209283807	230.182164688493	99.7773966281225	107.012136678159	30.393791691164	79.6450480922156	106.857190356587	130.83994271304	110.295819890595	20.3515133741497	124.867757949572	184.465255954367	187.239489817524	136.464218246133	144.504512651145	168.139256294849	212.926337874447	85.78633626159	114.722032795626	141.370933749846	204.25730992843	35.4053477540165	62.8519520760402	58.9476381853009	156.196282229424	178.77411168285	108.490463688242	190.820059126741	14.3094734227414	169.06302676506	235.266385520107	227.50818266757	55.3652405092273	140.836642505684	117.329345744666	94.6716084373411	157.267206683717
TCONS_00000455	156.277479807631	400.9302544135	213.319322032675	22.5374597533288	194.809613749136	190.915244559975	108.147543963869	46.2514221387278	147.694657718812	374.049818878879	206.143506864429	478.492096225549	17.730124063662	316.710040617552	125.347285715128	576.258205503978	191.451270892368	151.11583022342	81.7519191007532	235.72340749209	256.028988067536	57.0877011807459	229.389952531517	569.917656397278	24.0245775272036	72.4079297897064	38.7480495235166	93.3022392988754	487.241906238532	226.773415785398	37.5768731818812	20.3221180547546	358.202287958471	157.722046972875	552.923199951961	40.5785875360162	199.019336201254	220.970267819121	46.2971245824446	125.979300699658
TCONS_00000456	102.480628632124	322.508105958065	113.170137343429	42.7221926876734	314.274884950418	142.529512437156	113.216960087175	46.9847402700328	149.75523641118	296.312749727537	170.40996495808	234.324385471544	18.7956922280651	210.46976676088	130.184306052062	360.061160333035	167.947795666638	169.495954151914	79.3300458941493	251.073382804957	146.231485041024	46.4972385724278	136.705290707802	297.804802486637	28.5860198035235	64.7670858929068	59.6823771861241	91.4330008391476	292.905587465359	167.049614139255	108.941355023101	13.0415336441	215.889724348539	113.959732531105	325.927140881138	58.7501435706632	124.615808840523	119.106749960633	39.7424840640875	156.013953033443
TCONS_00000476	121.564276540256	280.651178089451	130.855528769707	73.9829921494442	162.512927066885	245.042829098935	330.085112446245	88.5295677447329	183.758362496363	271.566334162421	206.727109486603	133.283790773056	26.0587856029873	124.327204884856	188.449480855964	146.116451887677	131.133584720893	132.386733812475	213.363525125593	208.38473884893	140.120806770335	77.512412047635	161.110231960397	174.06114548174	50.0135022753816	61.4975153363868	56.2168545744842	111.895418651836	112.857166598947	327.383117297117	267.148082777437	41.541433918366	95.4753253829467	243.94542787019	131.943151897176	115.152819201678	195.441460494266	229.721565554532	94.7623255214585	202.091027230144
