Gorilla_GON_ACC.bam.out	Gorilla_Sakura_ACC.bam.out	Gorilla_GON_CB.bam.out	Gorilla_Sakura_CB.bam.out	Gorilla_GON_DPFC.bam.out	Gorilla_Sakura_DPFC.bam.out	Gorilla_GON_HIP.bam.out	Gorilla_Sakura_HIP.bam.out	Gorilla_GON_PMC.bam.out	Gorilla_Sakura_PMC.bam.out	Gorilla_GON_STR.bam.out	Gorilla_Sakura_STR.bam.out	Gorilla_GON_V1C.bam.out	Gorilla_Sakura_V1C.bam.out	Gorilla_GON_VPFC.bam.out	Gorilla_Sakura_VPFC.bam.out	Normalize_type
TCONS_00000964	12.89805606	0	21.58487021	0	6.153993307	0	12.2075434	0	12.82628289	0	11.77069329	0	9.640570859	0	6.154388409	0	Counts
TCONS_00001001	60.80512141	0	0.399719819	0.723072878	20.76972741	0	5.744726307	0	21.16336676	0	1.85853052	0	0	0	14.36023962	0	Counts
TCONS_00001002	1.842579437	0	3.19775855	0	0	0	1.436181577	0	0	0	3.097550867	0	0	0	0.512865701	0	Counts
TCONS_00001006	7.370317747	0	0	0	6.153993307	0	0.718090788	0	5.771827299	2.781958727	3.097550867	0	3.856228344	0	7.18011981	0	Counts
TCONS_00001024	2.763869155	0	34.37590441	0.723072878	0.769249163	1.489313581	0	0	1.923942433	0	0	0	1.928114172	0	2.051462803	1.471751027	Counts
TCONS_00001033	0.921289718	1.281097083	5.196357644	2.892291511	1.538498327	4.467940743	0	0	1.282628289	0	1.239020347	2.761096895	2.570818896	3.021955641	1.025731401	5.887004109	Counts
TCONS_00001068	27.63869155	0	0	0	5.384744144	0	24.4150868	0	13.46759703	0	0.619510173	0	5.141637792	0	8.718716912	0	Counts
TCONS_00001069	5.52773831	0	0	0	1.538498327	0	7.180907883	0	1.282628289	0	0.619510173	0	0.642704724	0	1.025731401	0	Counts
TCONS_00001097	2.763869155	0	1.998599094	0	4.61549498	0	2.872363153	0	2.565256578	0	1.85853052	0	1.285409448	0	2.051462803	0	Counts
TCONS_00001098	19.34708409	0	15.98879275	0	31.5392157	0	9.335180248	0	15.39153947	0	11.15118312	0	12.21138975	0	29.23334494	0	Counts
TCONS_00001101	0	0	6.795236919	1.446145756	0.769249163	0	1.436181577	0	1.282628289	1.390979363	0	1.380548447	0	0	0	1.471751027	Counts
TCONS_00001111	1.842579437	0	0.799439638	0	1.538498327	0	0.718090788	0	0	0	0.619510173	0	0.642704724	0	1.025731401	0	Counts
TCONS_00001129	494.7325788	1.281097083	225.042258	3.615364389	503.858202	5.957254324	409.3117494	9.106946657	527.1602267	9.736855544	421.886428	5.522193789	424.1851178	0	524.1487461	0	Counts
TCONS_00001178	3.685158874	0	0	0	1.538498327	0	1.436181577	0	3.847884866	0	0.619510173	0	4.498933068	0	3.590059905	0	Counts
TCONS_00001208	298.4978688	0	146.2974537	2.169218634	347.7006219	0	242.7146865	0	371.3208896	2.781958727	422.5059382	8.283290684	305.2847439	6.043911282	400.0352466	0	Counts
TCONS_00001209	24.8748224	0	20.38571076	0	34.61621235	0	25.13317759	1.517824443	37.19622037	0	9.912162773	0	16.71032282	0	28.20761354	0	Counts
TCONS_00001230	15.66192521	0	12.39131438	1.446145756	20.76972741	0	34.46835784	0	13.46759703	1.390979363	18.5853052	0	16.71032282	0	16.41170242	0	Counts
TCONS_00001244	1.842579437	0	4.396918006	0.723072878	4.61549498	0	2.154272365	0	3.847884866	0	0.619510173	0	3.21352362	0	1.025731401	0	Counts
TCONS_00001268	2.763869155	0	5.196357644	0.723072878	9.230989961	0	12.2075434	0	6.413141444	0	18.5853052	0	1.928114172	0	10.25731401	0	Counts
TCONS_00001274	3.685158874	2.562194166	0.399719819	1.446145756	0	1.489313581	1.436181577	0	0	2.781958727	1.239020347	1.380548447	1.928114172	0	2.051462803	1.471751027	Counts
