Chimpanzee_IYO_ACC.bam.out	Chimpanzee_KENNY_ACC.bam.out	Chimpanzee_MAYUMI_ACC.bam.out	Chimpanzee_REIKO_ACC.bam.out	Chimpanzee_YOSHIO_ACC.bam.out	Chimpanzee_IYO_CB.bam.out	Chimpanzee_KENNY_CB.bam.out	Chimpanzee_MAYUMI_CB.bam.out	Chimpanzee_REIKO_CB.bam.out	Chimpanzee_YOSHIO_CB.bam.out	Chimpanzee_GENKI_DPFC.bam.out	Chimpanzee_IYO_DPFC.bam.out	Chimpanzee_KENNY_DPFC.bam.out	Chimpanzee_MAYUMI_DPFC.bam.out	Chimpanzee_REIKO_DPFC.bam.out	Chimpanzee_YOSHIO_DPFC.bam.out	Chimpanzee_GENKI_VPFC.bam.out	Chimpanzee_IYO_VPFC.bam.out	Chimpanzee_KENNY_VPFC.bam.out	Chimpanzee_MAYUMI_VPFC.bam.out	Chimpanzee_REIKO_VPFC.bam.out	Chimpanzee_YOSHIO_VPFC.bam.out	Chimpanzee_IYO_HIP.bam.out	Chimpanzee_KENNY_HIP.bam.out	Chimpanzee_MAYUMI_HIP.bam.out	Chimpanzee_REIKO_HIP.bam.out	Chimpanzee_YOSHIO_HIP.bam.out	Chimpanzee_GENKI_V1C.bam.out	Chimpanzee_IYO_V1C.bam.out	Chimpanzee_KENNY_V1C.bam.out	Chimpanzee_MAYUMI_V1C.bam.out	Chimpanzee_REIKO_V1C.bam.out	Chimpanzee_GENKI_PMC.bam.out	Chimpanzee_KENNY_PMC.bam.out	Chimpanzee_MAYUMI_PMC.bam.out	Chimpanzee_REIKO_PMC.bam.out	Chimpanzee_YOSHIO_PMC.bam.out	Chimpanzee_GENKI_STR.bam.out	Chimpanzee_IYO_STR.bam.out	Chimpanzee_KENNY_STR.bam.out	Chimpanzee_MAYUMI_STR.bam.out	Chimpanzee_REIKO_STR.bam.out	Chimpanzee_YOSHIO_STR.bam.out
TCONS_00000171	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.6550079555102	0	0	0	0	0	0	0	0	0	0	0	0
TCONS_00000181	0	0	0	0	5.2996370538264	0	0	0	5.50115433471982	0	0	0	0	0	0	9.49900788562038	0	0	0	14.6898406149355	0	0	0	6.47408717474913	0	0	0	0	0	0	0	0	8.81560262930638	0	0	0	0	0	0	0	0	0	0
TCONS_00000182	0	1.41090314003774	3.46125676848761	0.993107121539388	0	0	15.5933100084444	6.09707728034172	41.1812238814522	6.93381115612773	0	0	0	0	1.86532550210743	2.58013592568878	0	0	0	0	0	0	0	0	0	4.63720559987278	1.55116232672699	0	2.50289691546238	0	13.947313993495	2.19514375809884	0	0	0	0	0	0	0	1.22954864685614	0	0	0
TCONS_00000228	0	0	0	0.895244087405185	0	0	0.845067386957936	2.59710970076713	0	0	3.00947894077236	0	0	0	0.850226355379991	2.27027417955968	0	0.940201577563475	2.37803006133117	0	0	1.42682141172678	0.523754381352051	0	2.14517250262025	2.11366563737702	0.691130006669998	0	0	0	0	0	0	0	0	1.34346062974787	0	0	0.722464098707137	1.08515325416484	0	2.2850415346668	0
TCONS_00000229	0	0	0	0	0	0	3.6011455849098	0	1.84589125534352	1.08327093963539	3.19838161890084	0	0	0	0.9034633647408	1.20841809177829	0	0	1.6875695841895	0	1.35497796819373	1.51721630861879	0	0	0	0	0	0	0	0	0	1.08031863306678	1.26953433271203	0	0	0	0	0	0.769401256712314	0.577515273523337	0	0	1.81996261520154
TCONS_00000231	0	10.6028108734446	54.2031261284413	19.1917951237486	13.1239472010567	15.5839659566394	18.017270057834	62.1122659713736	5.42312377678052	21.0571887979124	3.25649757563525	11.6163756977521	3.69623043912113	37.9718253233001	8.23736093934383	50.9669560680206	8.84743546864154	3.53498422234027	30.0276951984312	15.6183181255861	16.1517301281065	23.6239676680489	0	2.74104497318008	0	13.6520717100732	4.65964238623939	17.2932880961669	11.5506029992296	0	26.0155394771658	14.3329974793513	31.5864063320321	8.98398810034119	4.48013043559273	122.753626177189	18.8548013197701	13.0551158465614	2.53241084494409	22.3572511591275	19.1574448474404	27.9720087668344	25.0235814050375
TCONS_00000251	4.2213882885293	14.9860263118784	16.9801570171873	2.6006744239142	12.2004026526256	43.5897909975533	88.3523069119798	36.8431564723079	41.4025390324601	36.0446586748132	5.32571998228697	4.90702564824686	1.54505720917397	21.6681309793712	15.3730328477831	10.9339299868997	1.59732078190609	9.55609906835235	29.9482892555492	20.4861124611279	9.22178155950425	6.0211819611801	1.48794043089678	9.4559696756382	5.90493755584631	2.81010385430079	4.71287078027795	17.9096720012692	8.14373675147418	2.20368782662262	22.2591650347786	8.61295808743879	4.72555408964667	11.4432261569602	22.7380009221435	29.9049129290477	12.3454056260399	6.50726079043465	4.86854120275875	9.90485592084573	21.3635970327122	32.0598785557774	9.11863930654936
TCONS_00000258	1.25523173684141	0.727339088897737	3.36861972602201	1.56136638294904	5.47768451055421	9.90790939053581	34.4305181436455	22.2280442574349	20.4318090187323	10.5646759424756	8.18851922462233	0.986221168736386	0.677124567838997	0	2.48102127640385	5.23634030856276	1.51230473210147	1.60389259686344	0.91460605761829	0.802751471125957	4.4847862327539	1.65776603792077	1.50315158773683	9.29294809772603	3.104758702224	0	0.800429366961367	0	1.87199427918548	0	0.908423049678213	0.597407896720982	4.8563564009476	0.341876521512484	5.05541815462638	2.34764976171965	4.12148670614669	0.517593754996979	0	1.56587503125807	1.64542471082311	2.65099004293883	1.32045020291472
TCONS_00000306	10.5125657960468	4.76179809762737	0	0	5.12128388374571	257.447117603682	0	12.7600509549666	0	16.3890081872109	0	0	0	10.7116466705931	0	0	0	0	6.35651210044712	0	0	0	0	0	0	0	0	7.22805400894474	9.47431659622669	0	0	0	0	0	11.1288346458607	0	0	0	0	0	7.15211274304442	0	0
TCONS_00000307	115.793581871727	92.0240824514028	267.8560514307	42.3348421847398	75.7692879201873	1040.8913110661	281.069412902209	645.735911963466	38.716984938028	114.17675703757	85.4027955751104	139.11659570561	50.8698381141671	131.588133803176	107.314507793118	191.72892903863	52.5600613018507	215.118120946523	492.959382395672	319.334535213906	51.3242477097067	99.8881071585086	31.5484992061471	93.1955290881225	92.8481133781168	25.4080223493029	22.934177369772	38.6839406193001	81.5132644089774	11.3446963930082	251.353144572618	28.5438820941288	98.4735464073629	22.2346751932283	143.302802289165	198.409942719049	118.1955944156	21.3544394918754	142.423228262161	101.642688140107	69.1464024962304	163.045967450788	83.5327154836033
