Ids	Chimpanzee_GENKI_DPFC.bam.out	Chimpanzee_IYO_DPFC.bam.out	Chimpanzee_KENNY_DPFC.bam.out	Chimpanzee_MAYUMI_DPFC.bam.out	Chimpanzee_REIKO_DPFC.bam.out	Chimpanzee_YOSHIO_DPFC.bam.out	Chimpanzee_GENKI_PMC.bam.out	Chimpanzee_KENNY_PMC.bam.out	Chimpanzee_MAYUMI_PMC.bam.out	Chimpanzee_REIKO_PMC.bam.out	Chimpanzee_YOSHIO_PMC.bam.out	Chimpanzee_GENKI_STR.bam.out	Chimpanzee_IYO_STR.bam.out	Chimpanzee_KENNY_STR.bam.out	Chimpanzee_MAYUMI_STR.bam.out	Chimpanzee_REIKO_STR.bam.out	Chimpanzee_YOSHIO_STR.bam.out	Chimpanzee_GENKI_V1C.bam.out	Chimpanzee_IYO_V1C.bam.out	Chimpanzee_KENNY_V1C.bam.out	Chimpanzee_MAYUMI_V1C.bam.out	Chimpanzee_REIKO_V1C.bam.out	Chimpanzee_GENKI_VPFC.bam.out	Chimpanzee_IYO_VPFC.bam.out	Chimpanzee_KENNY_VPFC.bam.out	Chimpanzee_MAYUMI_VPFC.bam.out	Chimpanzee_REIKO_VPFC.bam.out	Chimpanzee_YOSHIO_VPFC.bam.out	Chimpanzee_IYO_ACC.bam.out	Chimpanzee_KENNY_ACC.bam.out	Chimpanzee_MAYUMI_ACC.bam.out	Chimpanzee_REIKO_ACC.bam.out	Chimpanzee_YOSHIO_ACC.bam.out	Chimpanzee_IYO_CB.bam.out	Chimpanzee_KENNY_CB.bam.out	Chimpanzee_MAYUMI_CB.bam.out	Chimpanzee_REIKO_CB.bam.out	Chimpanzee_YOSHIO_CB.bam.out	Chimpanzee_IYO_HIP.bam.out	Chimpanzee_KENNY_HIP.bam.out	Chimpanzee_MAYUMI_HIP.bam.out	Chimpanzee_REIKO_HIP.bam.out	Chimpanzee_YOSHIO_HIP.bam.out
TCONS_00046916	1.646819158	0	0	0	0	2.027414716	6.912120983	0	6.590815782	3.030393766	0	0	0	0.503803579	0	0	0	1.831249251	0	3.346908579	6.669695712	0	0	0.652769709	2.44647657	6.192127927	0	0	1.418486311	1.991899141	2.552845117	1.896246902	0	2.557319408	1.497278629	6.420045105	0	0.59049005	0	1.628164008	1.921058135	0	0
TCONS_00046931	0.823409579	1.468242322	1.499978299	0	3.343471574	1.013707358	0	3.806073686	0	3.030393766	0	1.748583779	0	4.030428633	1.015543879	1.279714991	0.8105132	1.831249251	0	0	0	0.790950877	0	0	1.957181256	0.884589704	1.461552003	0	1.418486311	0.66396638	0	0	0.707219143	0	0	0	0	0.59049005	0.91088952	0	1.921058135	2.934666761	2.022696977
TCONS_00046932	2.470228737	0	0	0	1.671735787	4.054829432	1.382424197	1.903036843	0	0.757598441	4.328181051	0	6.570308012	0	5.077719396	1.919572487	0	0	0	0	0.952813673	0.790950877	0	1.305539418	0.489295314	0	0	2.739923104	1.418486311	1.991899141	0.850948372	7.584987609	0.707219143	0.639329852	0.998185753	1.48154887	0	1.1809801	0.91088952	2.442246011	3.842116269	0	0
TCONS_00046973	3.293638316	2.936484644	1.499978299	2.229848115	0.835867893	2.027414716	4.14727259	7.612147372	0	2.272795324	0	0	0.730034224	0.503803579	0	0.639857496	0.8105132	0	2.133827563	0	0.952813673	1.581901753	0	2.611078837	3.425067198	2.653769112	2.923104005	4.109884656	4.255458932	1.32793276	1.701896745	0.948123451	1.414438286	0	3.992743011	2.469248117	0.894744144	5.904900501	2.732668561	0.814082004	0	0	4.045393953
TCONS_00046974	3.293638316	1.468242322	7.499891497	1.114924058	4.179339467	4.054829432	4.14727259	6.660628951	0	6.060787532	2.885454034	5.245751337	0	2.519017896	1.015543879	0.639857496	7.2946188	7.324997003	3.200741344	8.367271446	5.716882039	4.745705259	1.694973851	3.916618255	1.467885942	1.769179408	0	5.479846208	5.673945242	5.975697422	1.701896745	3.792493805	0	0.639329852	7.486393146	5.432345858	15.21065045	9.447840802	1.821779041	2.442246011	7.684232539	8.804000283	3.034045465
TCONS_00046980	1.646819158	0	1.499978299	5.574620288	15.04562208	4.054829432	2.764848393	1.903036843	13.18163156	5.30318909	1.442727017	5.245751337	0	1.511410737	2.031087758	2.559429983	0	10.9874955	8.535310252	1.673454289	14.2922051	4.745705259	1.694973851	1.958309127	4.403657826	4.422948519	7.307760013	5.479846208	0	0	0.850948372	3.792493805	5.657753145	2.557319408	9.482764652	2.469248117	20.57911531	2.952450251	0.91088952	3.256328015	17.28952321	0	0
TCONS_00047000	0	0	0	2.229848115	1.671735787	10.13707358	0	5.709110529	6.590815782	6.060787532	5.770908068	6.994335115	1.460068447	2.519017896	8.124351034	2.559429983	3.2420528	1.831249251	0	1.673454289	1.905627346	2.37285263	1.694973851	1.958309127	5.382248455	0.884589704	0	10.95969242	2.836972621	1.991899141	4.254741861	1.896246902	3.536095716	18.54056571	3.493650135	19.75398494	7.157953152	15.3527413	3.643558082	4.070410019	17.28952321	2.934666761	3.034045465
TCONS_00047002	9.880914947	8.809453933	2.999956599	2.229848115	3.343471574	6.082244148	5.529696786	5.709110529	3.766180447	1.515196883	1.442727017	6.994335115	8.030376459	5.54183937	2.031087758	5.118859965	8.9156452	3.662498502	7.46839647	8.367271446	3.811254693	3.163803506	3.389947701	5.874927382	1.957181256	1.769179408	2.923104005	6.84980776	5.673945242	7.967596563	1.701896745	3.792493805	5.657753145	1.917989556	3.493650135	2.963097741	5.368464864	3.542940301	10.01978472	4.884492023	5.763174404	0	10.11348488
TCONS_00047003	13.17455326	14.68242322	11.9998264	2.229848115	7.522811041	11.15078094	4.14727259	15.22429474	10.35699623	3.030393766	7.213635084	17.48583779	13.87065025	15.11410737	12.18652655	7.678289948	12.9682112	7.324997003	12.80296538	31.7956315	11.43376408	1.581901753	16.94973851	7.180466801	9.296610967	3.538358815	11.69241602	9.589730864	11.34789048	29.87848711	2.552845117	15.16997522	7.072191431	6.393298521	4.491835888	6.420045105	4.47372072	6.495390551	14.57423233	12.21123006	16.32899414	8.804000283	20.22696977
TCONS_00047007	108.6900644	61.66617753	86.99874136	46.82681042	56.83901676	71.97322242	71.88605822	58.99414214	64.96661271	53.0318909	75.02180488	108.4121943	73.00342235	93.70746571	63.97926439	58.22703211	171.8287984	14.64999401	82.15236118	83.67271446	41.92380162	49.82990522	106.7833526	38.51341284	34.7399673	37.15276756	49.69276809	54.79846208	69.50582922	53.7812768	31.48508977	43.61367875	67.89303774	35.80247172	21.96008656	27.16172929	30.42130089	21.2576418	102.0196263	98.50392246	73.00020912	73.36666902	87.98731849
