Ids	Human_Hs1_ACC.bam.out	Human_Hs2_ACC.bam.out	Human_Hs5_ACC.bam.out	Human_Hs6_ACC.bam.out	Human_Hs8_ACC.bam.out	Human_Hs1_CB.bam.out	Human_Hs2_CB.bam.out	Human_Hs3_CB.bam.out	Human_Hs6_CB.bam.out	Human_Hs8_CB.bam.out	Human_Hs1_DPFC.bam.out	Human_Hs2_DPFC.bam.out	Human_Hs3_DPFC.bam.out	Human_Hs5_DPFC.bam.out	Human_Hs6_DPFC.bam.out	Human_Hs8_DPFC.bam.out	Human_Hs1_PMC.bam.out	Human_Hs2_PMC.bam.out	Human_Hs3_PMC.bam.out	Human_Hs5_PMC.bam.out	Human_Hs6_PMC.bam.out	Human_Hs8_PMC.bam.out	Human_Hs1_STR.bam.out	Human_Hs2_STR.bam.out	Human_Hs5_STR.bam.out	Human_Hs8_STR.bam.out	Human_Hs6_STR.bam.out	Human_Hs1_V1C.bam.out	Human_Hs2_V1C.bam.out	Human_Hs5_V1C.bam.out	Human_Hs8_V1C.bam.out	Human_Hs6_V1C.bam.out	Human_Hs4_HIP.bam.out	Human_Hs6_HIP.bam.out	Human_Hs7_HIP.bam.out	Human_Hs9_HIP.bam.out	Human_Hs6_VPFC.bam.out	Human_Hs5_VPFC.bam.out	Human_Hs2_VPFC.bam.out	Human_Hs8_VPFC.bam.out
TCONS_00000328	42.78048639	51.45025614	58.83250592	22.26761187	23.94175137	96.89865328	141.2270117	71.42764442	101.6850963	117.8569823	36.28236213	54.74307492	49.98212909	65.52435878	39.28446576	45.5759958	60.03921756	39.17592684	38.59458509	58.25254307	28.54095943	47.07788898	39.02767063	55.19665604	69.05090551	52.78873891	37.06990433	35.59319696	52.59542192	56.34134956	41.02252793	37.40729793	49.00450384	13.02360218	65.69824423	109.2998386	50.22313906	44.31511049	34.16592878	13.85749722
TCONS_00000339	1.402638898	4.200020909	0	1.988179632	6.650486492	8.342268163	1.518570018	0	2.4801243	0	2.790950933	2.737153746	9.996425818	5.040335291	6.707103911	1.17615473	4.056703889	0.593574649	9.081078845	1.879114292	0	3.393001008	1.951383532	6.132961782	0	2.455290182	4.800419266	1.923956592	2.697201124	7.512179941	3.238620626	5.61109469	6.533933845	10.85300182	4.626636917	1.694571142	5.459036854	1.528107258	3.416592878	5.542998886
TCONS_00000358	190.0575707	243.6012127	199.5189331	298.6245807	114.3883677	272.7279976	262.7126132	277.7741727	280.874077	243.3013239	175.8299088	156.0177635	203.2606583	126.0083823	169.5939132	133.4935619	123.3237982	145.425789	202.0540043	124.9611004	189.0838562	122.1480363	138.5482307	120.0308235	109.4709478	77.34164074	149.3463772	156.8024623	149.6946624	131.463149	111.1926415	187.9716721	133.1289021	131.321322	147.127054	163.5261152	171.4137572	178.7885492	216.3842156	151.5086362
TCONS_00000363	23.84486127	10.50005227	8.95277264	20.27943224	14.63107028	12.83425871	1.518570018	7.936404936	11.78059042	12.139775	22.32760746	13.68576873	26.65713552	17.13713999	39.28446576	24.40521065	21.09486022	19.58796342	20.4324274	12.2142429	21.40571957	18.23738042	13.65968472	14.01819836	18.5258527	20.86996655	25.60223609	28.85934889	14.83460618	7.512179941	18.35218355	14.02773672	8.984159037	36.90020617	9.253273835	21.18213927	12.00988108	6.112429033	15.9441001	32.33416017
TCONS_00000365	70.83326435	58.80029273	52.43766832	97.81843787	47.88350274	29.51879504	41.0013905	46.03114863	27.90139837	24.27955	66.98282239	42.88207535	93.2999743	52.41948702	51.74051589	42.04753161	98.9835749	58.17031562	118.054025	37.58228585	85.62287828	43.26076285	77.0796495	58.70120563	70.73507394	83.47986619	78.94022793	48.09891481	79.56743316	67.60961947	43.18160834	50.49985221	36.75337788	150.8567252	48.11702394	55.92084768	66.60024962	42.78700323	37.58252166	41.57249165
TCONS_00000374	1.402638898	2.100010455	0	2.783451484	1.330097298	5.775416421	3.037140037	7.936404936	12.4006215	5.058239582	1.860633955	0	3.332141939	4.032268232	1.916315403	3.528464191	2.434022334	0.593574649	0	0	0	1.696500504	1.951383532	0	0	2.455290182	4.000349389	0	1.348600562	0	0	3.740729793	3.266966922	0	0	0	4.367229483	0	2.277728585	0.923833148
TCONS_00000398	39.97520859	53.5502666	54.99560336	102.1924331	70.49515681	41.71134082	44.03853053	36.5074627	30.38152267	29.84361354	50.2371168	34.67061411	53.31427103	44.35495056	84.31787774	55.86734969	39.75569812	65.29321141	38.59458509	60.13165736	121.2990776	70.40477091	55.61443065	63.95803002	47.15671596	90.84573674	100.2754247	52.90880629	53.94402248	46.95112463	50.7383898	76.68496076	35.11989442	88.99461489	73.10086329	61.85184667	91.71181915	68.76482662	54.66548605	68.36365293
TCONS_00000400	103.093959	67.20033455	95.922564	152.2945598	99.75729738	120.000319	33.4085404	209.5210903	66.9633561	61.20469895	103.2651845	84.85176612	283.2320648	87.70183406	114.0207665	84.97717927	279.9125684	90.81692132	231.5675106	70.46678597	103.4609779	81.43202418	171.7217508	105.1364877	119.5759583	110.4880582	135.4784993	175.0800499	87.65903653	90.14615929	64.77241251	112.2218938	68.60630537	132.4066222	86.05544666	109.2998386	119.0070034	82.51779195	92.24800771	93.30714792
TCONS_00000405	26.65013906	60.90030319	39.64799312	23.46051965	33.25243246	19.893101	30.37140037	23.80921481	29.7614916	20.23295833	24.18824142	45.6192291	23.32499358	30.24201174	31.61920415	41.16541556	12.17011167	34.42732965	20.4324274	35.70317156	24.9733395	40.71601209	16.58676002	26.28412192	21.89418955	27.008192	18.13491723	27.89737059	17.53180731	20.65849484	48.57930939	29.92583835	30.21944403	33.64430563	18.50654767	45.75342083	40.39687272	29.03403791	43.27684312	52.65848942
TCONS_00000414	28.75409741	32.55016205	48.60076576	31.01560225	21.28155677	48.12847017	50.11281061	26.98377678	62.62313857	56.14645936	26.04887538	39.23253702	23.32499358	36.29041409	26.82841564	29.10982958	26.77424567	23.74298597	22.70269711	34.76361441	28.54095943	29.26463369	27.31936944	35.9216333	38.73587383	30.69112728	30.40265535	14.42967444	14.83460618	35.68285472	43.18160834	38.34248038	28.58596057	24.96190418	24.98383935	38.97513626	51.31494643	35.14646694	28.47160732	32.33416017
