Ids	Gorilla_GON_ACC.bam.out	Gorilla_Sakura_ACC.bam.out	Gorilla_GON_CB.bam.out	Gorilla_Sakura_CB.bam.out	Gorilla_GON_DPFC.bam.out	Gorilla_Sakura_DPFC.bam.out	Gorilla_GON_HIP.bam.out	Gorilla_Sakura_HIP.bam.out	Gorilla_GON_PMC.bam.out	Gorilla_Sakura_PMC.bam.out	Gorilla_GON_STR.bam.out	Gorilla_Sakura_STR.bam.out	Gorilla_GON_V1C.bam.out	Gorilla_Sakura_V1C.bam.out	Gorilla_GON_VPFC.bam.out	Gorilla_Sakura_VPFC.bam.out
TCONS_00021551	26.71740183	0	0	0	7.692491634	0	1.436181577	0	1.923942433	0	2.478040693	0	18.63843699	0	21.54035943	0
TCONS_00021564	1.842579437	0	1.998599094	0	0.769249163	0	0.718090788	0	5.130513155	0	3.71706104	0	1.285409448	0	2.051462803	0
TCONS_00021569	2.763869155	0	0	0	1.538498327	0	0.718090788	0	0.641314144	0	3.097550867	0	1.285409448	0	2.564328504	0
TCONS_00021580	28.55998127	0	6.795236919	0	28.46221905	0	27.28744996	6.071297771	45.53330425	0	8.053632253	0	84.83702356	0	32.31053914	2.943502054
TCONS_00021604	4.606448592	2.562194166	0.399719819	0.723072878	0.769249163	11.91450865	6.462817095	16.69606887	2.565256578	4.17293809	6.814611907	8.283290684	3.21352362	0	0.512865701	1.471751027
TCONS_00021616	1.842579437	0	6.3955171	0.723072878	0.769249163	0	0	0	2.565256578	0	0	0	10.28327558	0	5.128657007	0
TCONS_00021656	7.370317747	0	13.99019366	0	10.76948829	0	4.30854473	0	13.46759703	0	25.39991711	1.380548447	8.997866135	0	15.89883672	0
TCONS_00021659	18.42579437	0	15.58907293	1.446145756	14.6157341	0	30.8779039	0	30.78307893	0	40.26816127	1.380548447	28.27900785	0	20.51462803	2.943502054
TCONS_00021681	172.2811773	51.24388331	193.8641121	118.583952	185.3890484	65.52979756	122.7935248	63.7486266	140.4477976	41.7293809	117.0874228	91.11619752	144.6085629	84.61475795	179.5029952	55.92653903
TCONS_00021686	6.449028029	8.96767958	5.196357644	5.784583023	5.384744144	1.489313581	2.154272365	0	5.771827299	1.390979363	1.239020347	1.380548447	3.21352362	0	4.102925606	0
TCONS_00021694	5.52773831	0	3.997198188	1.446145756	6.153993307	0	9.335180248	0	12.18496874	0	6.814611907	0	6.427047239	0	6.667254109	0
