LncRNAs	LncRNA1_id	Region	Organism
TCONS_00008272	pan_TCONS_00008272	ACC vs CB	Chimp
TCONS_00008424	pan_TCONS_00008424	ACC vs CB	Chimp
TCONS_00008441	pan_TCONS_00008441	ACC vs CB	Chimp
TCONS_00008442	pan_TCONS_00008442	ACC vs CB	Chimp
TCONS_00008523	pan_TCONS_00008523	ACC vs CB	Chimp
TCONS_00008527	pan_TCONS_00008527	ACC vs CB	Chimp
TCONS_00008533	pan_TCONS_00008533	ACC vs CB	Chimp
TCONS_00008604	pan_TCONS_00008604	ACC vs CB	Chimp
TCONS_00008648	pan_TCONS_00008648	ACC vs CB	Chimp
TCONS_00008678	pan_TCONS_00008678	ACC vs CB	Chimp
TCONS_00008798	pan_TCONS_00008798	ACC vs CB	Chimp
TCONS_00008879	pan_TCONS_00008879	ACC vs CB	Chimp
TCONS_00008950	pan_TCONS_00008950	ACC vs CB	Chimp
TCONS_00009086	pan_TCONS_00009086	ACC vs CB	Chimp
TCONS_00009112	pan_TCONS_00009112	ACC vs CB	Chimp
TCONS_00009115	pan_TCONS_00009115	ACC vs CB	Chimp
TCONS_00009152	pan_TCONS_00009152	ACC vs CB	Chimp
TCONS_00009156	pan_TCONS_00009156	ACC vs CB	Chimp
TCONS_00009199	pan_TCONS_00009199	ACC vs CB	Chimp
TCONS_00009277	pan_TCONS_00009277	ACC vs CB	Chimp
TCONS_00009309	pan_TCONS_00009309	ACC vs CB	Chimp
TCONS_00009313	pan_TCONS_00009313	ACC vs CB	Chimp
TCONS_00009363	pan_TCONS_00009363	ACC vs CB	Chimp
TCONS_00009421	pan_TCONS_00009421	ACC vs CB	Chimp
TCONS_00009456	pan_TCONS_00009456	ACC vs CB	Chimp
TCONS_00009473	pan_TCONS_00009473	ACC vs CB	Chimp
TCONS_00009537	pan_TCONS_00009537	ACC vs CB	Chimp
TCONS_00009548	pan_TCONS_00009548	ACC vs CB	Chimp
TCONS_00009556	pan_TCONS_00009556	ACC vs CB	Chimp
TCONS_00009617	pan_TCONS_00009617	ACC vs CB	Chimp
TCONS_00009622	pan_TCONS_00009622	ACC vs CB	Chimp
